row_idx,time_s,Shoulder_world_roll_deg,Shoulder_world_pitch_deg,Shoulder_world_yaw_deg,Elbow_world_roll_deg,Elbow_world_pitch_deg,Elbow_world_yaw_deg,Wrist_world_roll_deg,Wrist_world_pitch_deg,Wrist_world_yaw_deg,Shoulder_world_from_intrinsic_roll_deg,Shoulder_world_from_intrinsic_pitch_deg,Shoulder_world_from_intrinsic_yaw_deg,Elbow_world_from_intrinsic_roll_deg,Elbow_world_from_intrinsic_pitch_deg,Elbow_world_from_intrinsic_yaw_deg,Wrist_world_from_intrinsic_roll_deg,Wrist_world_from_intrinsic_pitch_deg,Wrist_world_from_intrinsic_yaw_deg
0,0.008482,-5.3266,-7.1841,84.2635,-7.7820,-8.7330,86.2316,-14.2497,-16.8047,92.9565,-5.2228,1.9309,84.0777,-1.7146,-8.0625,86.0795,-3.7445,7.6597,92.3259
1,0.096948,-5.3625,-7.1800,84.2790,-7.7981,-8.7307,86.2613,-14.2208,-16.7917,93.0251,-5.2171,1.9656,84.0908,-1.7291,-8.0625,86.1097,-3.7814,7.6367,92.3918
2,0.185549,-5.3859,-7.1803,84.3534,-7.7330,-8.7311,86.2545,-14.2861,-16.7888,93.0529,-5.2174,1.9850,84.1633,-1.6643,-8.0577,86.1001,-3.7246,7.6564,92.4205
3,0.283918,-5.4128,-7.1813,84.3213,-7.7586,-8.7443,86.1753,-14.2706,-16.7909,93.1036,-5.2163,2.0135,84.1292,-1.6938,-8.0700,86.0221,-3.7504,7.6523,92.4679
4,0.338141,-5.4004,-7.1800,84.2916,-7.7695,-8.7345,86.1862,-14.2715,-16.7864,93.0829,-5.2152,2.0026,84.1006,-1.7048,-8.0616,86.0339,-3.7437,7.6487,92.4489
5,0.415026,-5.3631,-7.1852,84.1984,-7.7718,-8.7391,86.1436,-14.2680,-16.7899,93.0732,-5.2209,1.9706,84.0100,-1.7094,-8.0648,85.9916,-3.7462,7.6509,92.4391
6,0.478552,-5.3751,-7.1782,84.1874,-7.7062,-8.7433,86.1184,-14.3949,-16.7905,93.0581,-5.2130,1.9827,83.9985,-1.6447,-8.0630,85.9635,-3.6239,7.6960,92.4285
7,0.544660,-5.3751,-7.1782,84.1874,-7.7062,-8.7433,86.1184,-14.3949,-16.7905,93.0581,-5.2130,1.9827,83.9985,-1.6447,-8.0630,85.9635,-3.6239,7.6960,92.4285
8,0.615316,-5.4520,-7.1757,84.2649,-7.8000,-8.7322,86.2699,-14.2903,-16.7777,93.1523,-5.2076,2.0551,84.0705,-1.7304,-8.0645,86.1182,-3.7373,7.6463,92.5163
9,0.667311,-5.3342,-7.1807,84.2491,-7.7580,-8.7346,86.2772,-14.3058,-16.7831,93.1599,-5.2188,1.9389,84.0629,-1.6878,-8.0638,86.1235,-3.7263,7.6566,92.5235
10,0.773124,-5.2997,-7.1832,84.1987,-7.7486,-8.7278,86.2823,-14.3781,-16.7734,93.1568,-5.2223,1.9073,84.0149,-1.6785,-8.0565,86.1283,-3.6541,7.6731,92.5237
11,0.869710,-5.4607,-7.1740,84.1745,-7.7672,-8.7323,86.2622,-14.3739,-16.7741,93.1308,-5.2039,2.0683,83.9798,-1.6980,-8.0618,86.1092,-3.6529,7.6724,92.4988
12,0.949360,-5.3811,-7.1713,84.1790,-7.8226,-8.7225,86.3478,-14.2316,-16.7685,93.1426,-5.2056,1.9887,83.9900,-1.7491,-8.0594,86.1967,-3.7871,7.6173,92.5063
13,1.043314,-5.3506,-7.1771,84.1498,-7.6895,-8.7235,86.3242,-14.3476,-16.7693,93.1284,-5.2126,1.9602,83.9628,-1.6171,-8.0491,86.1673,-3.6753,7.6588,92.4963
14,1.123992,-5.3894,-7.1702,84.2078,-7.7892,-8.7246,86.3374,-14.3570,-16.7639,93.0808,-5.2047,1.9955,84.0182,-1.7162,-8.0585,86.1850,-3.6548,7.6577,92.4519
15,1.204385,-5.4418,-7.1663,84.2534,-7.7727,-8.7173,86.4202,-14.2955,-16.7537,93.1542,-5.1986,2.0451,84.0602,-1.6951,-8.0528,86.2664,-3.7241,7.6257,92.5210
16,1.267379,-5.3675,-7.1665,84.2771,-7.7534,-8.7237,86.4421,-14.4338,-16.7549,93.2001,-5.2032,1.9699,84.0891,-1.6738,-8.0584,86.2867,-3.6039,7.6747,92.5686
17,1.347664,-5.4520,-7.1669,84.2834,-7.7702,-8.7147,86.5023,-14.3553,-16.7437,93.2471,-5.1992,2.0537,84.0893,-1.6877,-8.0529,86.3476,-3.6835,7.6362,92.6122
18,1.411277,-5.3757,-7.1634,84.2366,-7.7792,-8.7200,86.4379,-14.3968,-16.7442,93.2616,-5.1991,1.9799,84.0483,-1.7003,-8.0567,86.2840,-3.6477,7.6511,92.6273
