row_idx,time_s,Shoulder_world_roll_deg,Shoulder_world_pitch_deg,Shoulder_world_yaw_deg,Elbow_world_roll_deg,Elbow_world_pitch_deg,Elbow_world_yaw_deg,Wrist_world_roll_deg,Wrist_world_pitch_deg,Wrist_world_yaw_deg,Shoulder_world_from_intrinsic_roll_deg,Shoulder_world_from_intrinsic_pitch_deg,Shoulder_world_from_intrinsic_yaw_deg,Elbow_world_from_intrinsic_roll_deg,Elbow_world_from_intrinsic_pitch_deg,Elbow_world_from_intrinsic_yaw_deg,Wrist_world_from_intrinsic_roll_deg,Wrist_world_from_intrinsic_pitch_deg,Wrist_world_from_intrinsic_yaw_deg
0,0.004023,-0.0371,-0.2067,-0.0368,-0.0532,-0.8051,-0.0085,-0.0116,-0.0062,-0.1211,-0.0372,-0.2067,-0.0368,-0.0533,-0.8051,-0.0085,-0.0116,-0.0062,-0.1211
1,0.018705,-0.0373,-0.2056,-0.0371,-0.0536,-0.8054,-0.0095,-0.0114,-0.0051,-0.1210,-0.0373,-0.2055,-0.0371,-0.0537,-0.8054,-0.0095,-0.0113,-0.0051,-0.1211
2,0.048908,-0.0388,-0.2051,-0.0364,-0.0532,-0.8055,-0.0087,-0.0106,-0.0047,-0.1192,-0.0388,-0.2051,-0.0364,-0.0532,-0.8055,-0.0087,-0.0105,-0.0046,-0.1192
3,0.051481,-0.0394,-0.2047,-0.0365,-0.0533,-0.8058,-0.0097,-0.0114,-0.0051,-0.1192,-0.0394,-0.2047,-0.0365,-0.0533,-0.8058,-0.0097,-0.0114,-0.0051,-0.1191
4,0.078902,-0.0399,-0.2039,-0.0356,-0.0540,-0.8052,-0.0101,-0.0111,-0.0062,-0.1199,-0.0399,-0.2039,-0.0356,-0.0540,-0.8053,-0.0102,-0.0111,-0.0062,-0.1199
5,0.088470,-0.0400,-0.2043,-0.0349,-0.0539,-0.8071,-0.0099,-0.0112,-0.0076,-0.1207,-0.0400,-0.2043,-0.0349,-0.0539,-0.8071,-0.0100,-0.0112,-0.0076,-0.1208
6,0.121522,-0.0399,-0.2055,-0.0345,-0.0528,-0.8075,-0.0091,-0.0099,-0.0070,-0.1208,-0.0399,-0.2054,-0.0345,-0.0528,-0.8075,-0.0091,-0.0099,-0.0069,-0.1208
7,0.124708,-0.0389,-0.2054,-0.0342,-0.0523,-0.8078,-0.0086,-0.0087,-0.0071,-0.1207,-0.0389,-0.2053,-0.0342,-0.0522,-0.8078,-0.0086,-0.0087,-0.0070,-0.1206
8,0.138622,-0.0387,-0.2061,-0.0362,-0.0511,-0.8069,-0.0091,-0.0100,-0.0069,-0.1217,-0.0387,-0.2061,-0.0362,-0.0511,-0.8069,-0.0091,-0.0100,-0.0070,-0.1216
9,0.153514,-0.0378,-0.2071,-0.0368,-0.0511,-0.8058,-0.0094,-0.0098,-0.0058,-0.1230,-0.0378,-0.2070,-0.0368,-0.0511,-0.8058,-0.0094,-0.0097,-0.0057,-0.1230
10,0.167404,-0.0369,-0.2070,-0.0373,-0.0517,-0.8055,-0.0098,-0.0105,-0.0045,-0.1229,-0.0369,-0.2070,-0.0373,-0.0516,-0.8055,-0.0098,-0.0104,-0.0045,-0.1228
11,0.204428,-0.0361,-0.2058,-0.0378,-0.0514,-0.8047,-0.0101,-0.0098,-0.0025,-0.1224,-0.0361,-0.2058,-0.0378,-0.0514,-0.8047,-0.0101,-0.0097,-0.0025,-0.1224
12,0.207723,-0.0360,-0.2048,-0.0378,-0.0522,-0.8042,-0.0097,-0.0094,-0.0019,-0.1224,-0.0360,-0.2047,-0.0378,-0.0522,-0.8042,-0.0097,-0.0093,-0.0019,-0.1225
13,0.233166,-0.0353,-0.2040,-0.0368,-0.0525,-0.8036,-0.0093,-0.0094,-0.0014,-0.1214,-0.0353,-0.2040,-0.0368,-0.0525,-0.8037,-0.0092,-0.0093,-0.0015,-0.1214
14,0.237170,-0.0356,-0.2047,-0.0355,-0.0522,-0.8050,-0.0082,-0.0095,-0.0017,-0.1208,-0.0356,-0.2047,-0.0355,-0.0522,-0.8050,-0.0082,-0.0094,-0.0017,-0.1209
15,0.257573,-0.0365,-0.2055,-0.0354,-0.0531,-0.8053,-0.0076,-0.0103,-0.0014,-0.1198,-0.0365,-0.2055,-0.0354,-0.0531,-0.8053,-0.0075,-0.0104,-0.0014,-0.1197
16,0.273810,-0.0375,-0.2041,-0.0347,-0.0540,-0.8052,-0.0075,-0.0109,-0.0025,-0.1197,-0.0375,-0.2041,-0.0347,-0.0540,-0.8052,-0.0074,-0.0108,-0.0024,-0.1197
17,0.287643,-0.0371,-0.2040,-0.0342,-0.0556,-0.8062,-0.0063,-0.0138,-0.0018,-0.1158,-0.0372,-0.2040,-0.0342,-0.0557,-0.8062,-0.0063,-0.0139,-0.0018,-0.1158
18,0.302590,-0.0371,-0.2037,-0.0332,-0.0575,-0.8071,-0.0056,-0.0157,-0.0017,-0.1140,-0.0371,-0.2036,-0.0332,-0.0576,-0.8071,-0.0055,-0.0158,-0.0017,-0.1139
19,0.339535,-0.0389,-0.2042,-0.0327,-0.0579,-0.8082,-0.0050,-0.0178,-0.0014,-0.1114,-0.0389,-0.2041,-0.0327,-0.0579,-0.8082,-0.0051,-0.0178,-0.0013,-0.1115
20,0.347480,-0.0387,-0.2040,-0.0314,-0.0592,-0.8088,-0.0034,-0.0193,-0.0026,-0.1098,-0.0387,-0.2040,-0.0314,-0.0592,-0.8088,-0.0034,-0.0194,-0.0026,-0.1098
21,0.370032,-0.0397,-0.2046,-0.0312,-0.0613,-0.8105,-0.0037,-0.0209,-0.0027,-0.1064,-0.0397,-0.2046,-0.0312,-0.0613,-0.8104,-0.0037,-0.0209,-0.0026,-0.1063
22,0.378553,-0.0400,-0.2046,-0.0308,-0.0639,-0.8105,-0.0013,-0.0221,-0.0012,-0.1063,-0.0401,-0.2045,-0.0308,-0.0639,-0.8105,-0.0013,-0.0221,-0.0011,-0.1063
23,0.384432,-0.0404,-0.2050,-0.0299,-0.0646,-0.8110,-0.0008,-0.0233,-0.0033,-0.1052,-0.0404,-0.2049,-0.0299,-0.0647,-0.8110,-0.0008,-0.0234,-0.0033,-0.1052
24,0.408493,-0.0406,-0.2067,-0.0280,-0.0653,-0.8112,0.0010,-0.0232,-0.0051,-0.1035,-0.0406,-0.2067,-0.0280,-0.0653,-0.8112,0.0009,-0.0232,-0.0051,-0.1036
25,0.424434,-0.0423,-0.2087,-0.0268,-0.0664,-0.8131,0.0023,-0.0234,-0.0063,-0.1012,-0.0423,-0.2087,-0.0268,-0.0663,-0.8132,0.0022,-0.0233,-0.0063,-0.1013
26,0.436502,-0.0431,-0.2114,-0.0255,-0.0664,-0.8136,0.0043,-0.0225,-0.0068,-0.0990,-0.0431,-0.2114,-0.0255,-0.0663,-0.8136,0.0043,-0.0224,-0.0067,-0.0990
27,0.451424,-0.0429,-0.2128,-0.0255,-0.0675,-0.8149,0.0062,-0.0233,-0.0074,-0.0985,-0.0429,-0.2128,-0.0255,-0.0675,-0.8149,0.0062,-0.0232,-0.0073,-0.0986
28,0.468177,-0.0428,-0.2128,-0.0263,-0.0683,-0.8162,0.0056,-0.0249,-0.0078,-0.0967,-0.0428,-0.2128,-0.0263,-0.0683,-0.8162,0.0056,-0.0249,-0.0078,-0.0968
29,0.497574,-0.0426,-0.2133,-0.0254,-0.0679,-0.8165,0.0053,-0.0253,-0.0065,-0.0966,-0.0426,-0.2133,-0.0254,-0.0679,-0.8165,0.0054,-0.0253,-0.0065,-0.0966
30,0.500981,-0.0420,-0.2128,-0.0258,-0.0694,-0.8149,0.0061,-0.0254,-0.0051,-0.0969,-0.0420,-0.2128,-0.0258,-0.0695,-0.8149,0.0061,-0.0254,-0.0050,-0.0969
31,0.527488,-0.0415,-0.2129,-0.0259,-0.0691,-0.8136,0.0054,-0.0267,-0.0062,-0.0966,-0.0415,-0.2129,-0.0259,-0.0690,-0.8136,0.0053,-0.0267,-0.0061,-0.0966
32,0.530406,-0.0417,-0.2132,-0.0259,-0.0692,-0.8139,0.0060,-0.0255,-0.0063,-0.0957,-0.0417,-0.2132,-0.0259,-0.0693,-0.8139,0.0059,-0.0255,-0.0063,-0.0957
33,0.557496,-0.0416,-0.2141,-0.0257,-0.0694,-0.8144,0.0056,-0.0239,-0.0061,-0.0960,-0.0416,-0.2140,-0.0257,-0.0694,-0.8144,0.0055,-0.0239,-0.0061,-0.0960
34,0.566543,-0.0428,-0.2142,-0.0258,-0.0704,-0.8147,0.0061,-0.0242,-0.0054,-0.0961,-0.0428,-0.2141,-0.0258,-0.0704,-0.8147,0.0061,-0.0241,-0.0054,-0.0961
35,0.586406,-0.0423,-0.2138,-0.0253,-0.0705,-0.8152,0.0070,-0.0248,-0.0065,-0.0948,-0.0423,-0.2137,-0.0253,-0.0706,-0.8152,0.0070,-0.0248,-0.0064,-0.0948
36,0.610179,-0.0418,-0.2153,-0.0256,-0.0698,-0.8161,0.0071,-0.0257,-0.0058,-0.0965,-0.0418,-0.2153,-0.0256,-0.0698,-0.8161,0.0070,-0.0256,-0.0057,-0.0964
37,0.618677,-0.0413,-0.2142,-0.0257,-0.0716,-0.8165,0.0077,-0.0243,-0.0054,-0.0970,-0.0413,-0.2142,-0.0257,-0.0716,-0.8165,0.0077,-0.0243,-0.0053,-0.0970
38,0.648531,-0.0403,-0.2131,-0.0255,-0.0717,-0.8166,0.0079,-0.0237,-0.0059,-0.0981,-0.0403,-0.2131,-0.0255,-0.0717,-0.8167,0.0079,-0.0237,-0.0059,-0.0981
39,0.655983,-0.0409,-0.2128,-0.0261,-0.0702,-0.8163,0.0072,-0.0238,-0.0068,-0.0989,-0.0409,-0.2128,-0.0261,-0.0702,-0.8163,0.0072,-0.0239,-0.0067,-0.0989
